cntr_id,nuts_id,nuts_name,population,GDPpc,catg,catg_name
BE,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,1058.731,220.2,MD,More developed
BE,BE21,Prov. Antwerpen,1722.547,135.3,MD,More developed
BE,BE22,Prov. Limburg (B),829.432,96.1,MD,More developed
BE,BE23,Prov. Oost-Vlaanderen,1414.194,105,MD,More developed
BE,BE24,Prov. Vlaams-Brabant,1064.186,123.4,MD,More developed
BE,BE25,Prov. West-Vlaanderen,1152.364,110.2,MD,More developed
BE,BE31,Prov. Brabant Wallon,374.566,116,MD,More developed
BE,BE32,Prov. Hainaut,1301.806,76.4,TR,Transition
BE,BE33,Prov. Liège,1056.702,86.7,TR,Transition
BE,BE34,Prov. Luxembourg (B),265.278,78.5,TR,Transition
BE,BE35,Prov. Namur,466.863,81.6,TR,Transition
BG,BG31,Severozapaden,923.008,27.5,LD,Less developed
BG,BG32,Severen tsentralen,928.104,29.2,LD,Less developed
BG,BG33,Severoiztochen,991.598,35.9,LD,Less developed
BG,BG34,Yugoiztochen,1123.585,35,LD,Less developed
BG,BG41,Yugozapaden,2114.756,71.4,LD,Less developed
BG,BG42,Yuzhen tsentralen,1541.712,29.9,LD,Less developed
CZ,CZ01,Praha,1221.564,173.8,MD,More developed
CZ,CZ02,Střední Čechy,1214.492,74.3,LD,Less developed
CZ,CZ03,Jihozápad,1199.203,70.2,LD,Less developed
CZ,CZ04,Severozápad,1139.364,64.2,LD,Less developed
CZ,CZ05,Severovýchod,1501.059,66,LD,Less developed
CZ,CZ06,Jihovýchod,1657.105,72.8,LD,Less developed
CZ,CZ07,Střední Morava,1232.222,64.1,LD,Less developed
CZ,CZ08,Moravskoslezsko,1249.616,67.9,LD,Less developed
DK,DK01,Hovedstaden,1654.848,147.5,MD,More developed
DK,DK02,Sjælland,819.752,88.6,TR,Transition
DK,DK03,Syddanmark,1196.378,110.5,MD,More developed
DK,DK04,Midtjylland,1241.305,113.7,MD,More developed
DK,DK05,Nordjylland,579.054,108.9,MD,More developed
DE,DE11,Stuttgart,4006.483,137.2,MD,More developed
DE,DE12,Karlsruhe,2738.337,131.9,MD,More developed
DE,DE13,Freiburg,2195.774,113.1,MD,More developed
DE,DE14,Tübingen,1807.733,122.3,MD,More developed
DE,DE21,Oberbayern,4316.797,161.9,MD,More developed
DE,DE22,Niederbayern,1192.545,115,MD,More developed
DE,DE23,Oberpfalz,1084.961,122.9,MD,More developed
DE,DE24,Oberfranken,1085.341,112.5,MD,More developed
DE,DE25,Mittelfranken,1712.412,132.1,MD,More developed
DE,DE26,Unterfranken,1330.639,115.7,MD,More developed
DE,DE27,Schwaben,1787.123,119.8,MD,More developed
DE,DE30,Berlin,3422.293,101.7,MD,More developed
DE,DE41,Brandenburg - Nordost,1144.127,76.4,TR,Transition
DE,DE42,Brandenburg - Südwest,1384.963,88.9,TR,Transition
DE,DE50,Bremen,662.108,158.6,MD,More developed
DE,DE60,Hamburg,1770.456,187.1,MD,More developed
DE,DE71,Darmstadt,3782.753,156.6,MD,More developed
