"VARIABLE","VERSIONS","LEVEL","NUTSCODE","YEAR","UNIT","VALUE"
"ROIGT",2021,2,"AT11",1980,"Million EUR2015",827.5
"ROIGT",2021,2,"AT12",1980,"Million EUR2015",6586.6
"ROIGT",2021,2,"AT13",1980,"Million EUR2015",13571.6
"ROIGT",2021,2,"AT21",1980,"Million EUR2015",2683.1
"ROIGT",2021,2,"AT22",1980,"Million EUR2015",6402.7
"ROIGT",2021,2,"AT31",1980,"Million EUR2015",7458.7
"ROIGT",2021,2,"AT32",1980,"Million EUR2015",2591.2
"ROIGT",2021,2,"AT33",1980,"Million EUR2015",3315.6
"ROIGT",2021,2,"AT34",1980,"Million EUR2015",2003.3
"ROIGT",2021,2,"ATZZ",1980,"Million EUR2015",2.8
"ROIGT",2021,2,"BE10",1980,"Million EUR2015",8862.3
"ROIGT",2021,2,"BE21",1980,"Million EUR2015",9306.3
"ROIGT",2021,2,"BE22",1980,"Million EUR2015",3615.7
"ROIGT",2021,2,"BE23",1980,"Million EUR2015",6270.9
"ROIGT",2021,2,"BE24",1980,"Million EUR2015",4435.6
"ROIGT",2021,2,"BE25",1980,"Million EUR2015",5684
"ROIGT",2021,2,"BE31",1980,"Million EUR2015",1072.6
"ROIGT",2021,2,"BE32",1980,"Million EUR2015",3879.5
"ROIGT",2021,2,"BE33",1980,"Million EUR2015",4316.9
"ROIGT",2021,2,"BE34",1980,"Million EUR2015",905.6
"ROIGT",2021,2,"BE35",1980,"Million EUR2015",1417.7
"ROIGT",2021,2,"BEZZ",1980,"Million EUR2015",72.5
"ROIGT",2021,2,"CH01",1980,"Million EUR2015",13954.5
"ROIGT",2021,2,"CH02",1980,"Million EUR2015",15605.4
"ROIGT",2021,2,"CH03",1980,"Million EUR2015",11097.2
"ROIGT",2021,2,"CH04",1980,"Million EUR2015",16990.9
"ROIGT",2021,2,"CH05",1980,"Million EUR2015",9343.3
"ROIGT",2021,2,"CH06",1980,"Million EUR2015",6746.1
"ROIGT",2021,2,"CH07",1980,"Million EUR2015",3374
"ROIGT",2021,2,"DK01",1980,"Million EUR2015",7702.1
"ROIGT",2021,2,"DK02",1980,"Million EUR2015",2889.1
"ROIGT",2021,2,"DK03",1980,"Million EUR2015",4793.6
"ROIGT",2021,2,"DK04",1980,"Million EUR2015",4656.1
"ROIGT",2021,2,"DK05",1980,"Million EUR2015",2132.4
"ROIGT",2021,2,"DKZZ",1980,"Million EUR2015",268.7
"ROIGT",2021,2,"EL30",1980,"Million EUR2015",14067.6
"ROIGT",2021,2,"EL41",1980,"Million EUR2015",231.3
"ROIGT",2021,2,"EL42",1980,"Million EUR2015",551.8
"ROIGT",2021,2,"EL43",1980,"Million EUR2015",803.4
"ROIGT",2021,2,"EL51",1980,"Million EUR2015",1533.8
"ROIGT",2021,2,"EL52",1980,"Million EUR2015",5812.4
"ROIGT",2021,2,"EL53",1980,"Million EUR2015",965.7
"ROIGT",2021,2,"EL54",1980,"Million EUR2015",720.2
"ROIGT",2021,2,"EL61",1980,"Million EUR2015",1986.2
"ROIGT",2021,2,"EL62",1980,"Million EUR2015",507.2
"ROIGT",2021,2,"EL63",1980,"Million EUR2015",1020.5
"ROIGT",2021,2,"EL64",1980,"Million EUR2015",1213.2
"ROIGT",2021,2,"EL65",1980,"Million EUR2015",2377.7
"ROIGT",2021,2,"ES11",1980,"Million EUR2015",4959.6
"ROIGT",2021,2,"ES12",1980,"Million EUR2015",2787.8
