"VARIABLE","VERSIONS","LEVEL","NUTSCODE","YEAR","UNIT","VALUE"
"SNPTD",2021,2,"AL01",1960,"Persons",526480
"SNPTD",2021,2,"AL02",1960,"Persons",407826
"SNPTD",2021,2,"AL03",1960,"Persons",674497
"SNPTD",2021,2,"AT11",1960,"Persons",270241
"SNPTD",2021,2,"AT12",1960,"Persons",1370135
"SNPTD",2021,2,"AT13",1960,"Persons",1622082
"SNPTD",2021,2,"AT21",1960,"Persons",493160
"SNPTD",2021,2,"AT22",1960,"Persons",1133537
"SNPTD",2021,2,"AT31",1960,"Persons",1127324
"SNPTD",2021,2,"AT32",1960,"Persons",345692
"SNPTD",2021,2,"AT33",1960,"Persons",460576
"SNPTD",2021,2,"AT34",1960,"Persons",224799
"SNPTD",2021,2,"BE10",1960,"Persons",1018859
"SNPTD",2021,2,"BE21",1960,"Persons",1437591
"SNPTD",2021,2,"BE22",1960,"Persons",563857
"SNPTD",2021,2,"BE23",1960,"Persons",1270507
"SNPTD",2021,2,"BE24",1960,"Persons",767801
"SNPTD",2021,2,"BE25",1960,"Persons",994036
"SNPTD",2021,2,"BE31",1960,"Persons",205426
"SNPTD",2021,2,"BE32",1960,"Persons",1317072
"SNPTD",2021,2,"BE33",1960,"Persons",984961
"SNPTD",2021,2,"BE34",1960,"Persons",217576
"SNPTD",2021,2,"BE35",1960,"Persons",375813
"SNPTD",2021,2,"BG31",1960,"Persons",1296321
"SNPTD",2021,2,"BG32",1960,"Persons",1101226
"SNPTD",2021,2,"BG33",1960,"Persons",968940
"SNPTD",2021,2,"BG34",1960,"Persons",1088175
"SNPTD",2021,2,"BG41",1960,"Persons",1794269
"SNPTD",2021,2,"BG42",1960,"Persons",1618451
"SNPTD",2021,2,"CH01",1960,"Persons",894674
"SNPTD",2021,2,"CH02",1960,"Persons",1327493
"SNPTD",2021,2,"CH03",1960,"Persons",739820
"SNPTD",2021,2,"CH04",1960,"Persons",939619
"SNPTD",2021,2,"CH05",1960,"Persons",763753
"SNPTD",2021,2,"CH06",1960,"Persons",455183
"SNPTD",2021,2,"CH07",1960,"Persons",207291
"SNPTD",2021,2,"CY00",1960,"Persons",441788
"SNPTD",2021,2,"CZ01",1960,"Persons",1136257
"SNPTD",2021,2,"CZ02",1960,"Persons",1145920
"SNPTD",2021,2,"CZ03",1960,"Persons",1127052
"SNPTD",2021,2,"CZ04",1960,"Persons",1066736
"SNPTD",2021,2,"CZ05",1960,"Persons",1410019
"SNPTD",2021,2,"CZ06",1960,"Persons",1547525
"SNPTD",2021,2,"CZ07",1960,"Persons",1136036
"SNPTD",2021,2,"CZ08",1960,"Persons",1032466
"SNPTD",2021,2,"DE11",1960,"Persons",2885703
"SNPTD",2021,2,"DE12",1960,"Persons",2025412
"SNPTD",2021,2,"DE13",1960,"Persons",1538313
"SNPTD",2021,2,"DE14",1960,"Persons",1215907
"SNPTD",2021,2,"DE21",1960,"Persons",2832647
"SNPTD",2021,2,"DE22",1960,"Persons",923444
"SNPTD",2021,2,"DE23",1960,"Persons",884882
"SNPTD",2021,2,"DE24",1960,"Persons",1041944
"SNPTD",2021,2,"DE25",1960,"Persons",1360726
"SNPTD",2021,2,"DE26",1960,"Persons",1080277
"SNPTD",2021,2,"DE27",1960,"Persons",1329841
"SNPTD",2021,2,"DE30",1960,"Persons",3266818
"SNPTD",2021,2,"DE40",1960,"Persons",2631072
"SNPTD",2021,2,"DE50",1960,"Persons",701250
"SNPTD",2021,2,"DE60",1960,"Persons",1827732
"SNPTD",2021,2,"DE71",1960,"Persons",2810696
"SNPTD",2021,2,"DE72",1960,"Persons",850282
"SNPTD",2021,2,"DE73",1960,"Persons",1105017
"SNPTD",2021,2,"DE80",1960,"Persons",1892342
"SNPTD",2021,2,"DE91",1960,"Persons",1592719
"SNPTD",2021,2,"DE92",1960,"Persons",1932722
"SNPTD",2021,2,"DE93",1960,"Persons",1237315
"SNPTD",2021,2,"DE94",1960,"Persons",1849178
"SNPTD",2021,2,"DEA1",1960,"Persons",5128735
"SNPTD",2021,2,"DEA2",1960,"Persons",3247017
"SNPTD",2021,2,"DEA3",1960,"Persons",2212696
"SNPTD",2021,2,"DEA4",1960,"Persons",1596401
"SNPTD",2021,2,"DEA5",1960,"Persons",3585630
"SNPTD",2021,2,"DEB1",1960,"Persons",1250171
"SNPTD",2021,2,"DEB2",1960,"Persons",463741
"SNPTD",2021,2,"DEB3",1960,"Persons",1688229
"SNPTD",2021,2,"DEC0",1960,"Persons",1062332
"SNPTD",2021,2,"DED2",1960,"Persons",2019827
"SNPTD",2021,2,"DED4",1960,"Persons",2267772
"SNPTD",2021,2,"DED5",1960,"Persons",1266897
"SNPTD",2021,2,"DEE0",1960,"Persons",3218716
"SNPTD",2021,2,"DEF0",1960,"Persons",2280748
"SNPTD",2021,2,"DEG0",1960,"Persons",2709850
"SNPTD",2021,2,"DK01",1960,"Persons",1553725
"SNPTD",2021,2,"DK02",1960,"Persons",590250
"SNPTD",2021,2,"DK03",1960,"Persons",992826
"SNPTD",2021,2,"DK04",1960,"Persons",920948
"SNPTD",2021,2,"DK05",1960,"Persons",521856
"SNPTD",2021,2,"EE00",1960,"Persons",1211539
"SNPTD",2021,2,"EL30",1960,"Persons",2038122
"SNPTD",2021,2,"EL41",1960,"Persons",253556
"SNPTD",2021,2,"EL42",1960,"Persons",221631
"SNPTD",2021,2,"EL43",1960,"Persons",480134
"SNPTD",2021,2,"EL51",1960,"Persons",615309
