"VARIABLE","VERSIONS","LEVEL","NUTSCODE","YEAR","UNIT","VALUE"
"RNUTN",2021,2,"AT11",1980,"Thousands Persons",2
"RNUTN",2021,2,"AT12",1980,"Thousands Persons",9.7
"RNUTN",2021,2,"AT13",1980,"Thousands Persons",16.7
"RNUTN",2021,2,"AT21",1980,"Thousands Persons",3.1
"RNUTN",2021,2,"AT22",1980,"Thousands Persons",7.4
"RNUTN",2021,2,"AT31",1980,"Thousands Persons",9.4
"RNUTN",2021,2,"AT32",1980,"Thousands Persons",2.4
"RNUTN",2021,2,"AT33",1980,"Thousands Persons",3.1
"RNUTN",2021,2,"AT34",1980,"Thousands Persons",2.3
"RNUTN",2021,2,"BE10",1980,"Thousands Persons",47.6
"RNUTN",2021,2,"BE21",1980,"Thousands Persons",33.8
"RNUTN",2021,2,"BE22",1980,"Thousands Persons",16.8
"RNUTN",2021,2,"BE23",1980,"Thousands Persons",30
"RNUTN",2021,2,"BE24",1980,"Thousands Persons",12.8
"RNUTN",2021,2,"BE25",1980,"Thousands Persons",14.9
"RNUTN",2021,2,"BE31",1980,"Thousands Persons",8.9
"RNUTN",2021,2,"BE32",1980,"Thousands Persons",59.9
"RNUTN",2021,2,"BE33",1980,"Thousands Persons",38.3
"RNUTN",2021,2,"BE34",1980,"Thousands Persons",5.2
"RNUTN",2021,2,"BE35",1980,"Thousands Persons",13.7
"RNUTN",2021,2,"CH01",1980,"Thousands Persons",1.7
"RNUTN",2021,2,"CH02",1980,"Thousands Persons",1.1
"RNUTN",2021,2,"CH03",1980,"Thousands Persons",0.8
"RNUTN",2021,2,"CH04",1980,"Thousands Persons",1.2
"RNUTN",2021,2,"CH05",1980,"Thousands Persons",0.7
"RNUTN",2021,2,"CH06",1980,"Thousands Persons",0.6
"RNUTN",2021,2,"CH07",1980,"Thousands Persons",0.3
"RNUTN",2021,2,"DK01",1980,"Thousands Persons",46.9
"RNUTN",2021,2,"DK02",1980,"Thousands Persons",18.7
"RNUTN",2021,2,"DK03",1980,"Thousands Persons",25.9
"RNUTN",2021,2,"DK04",1980,"Thousands Persons",26.2
"RNUTN",2021,2,"DK05",1980,"Thousands Persons",15.7
"RNUTN",2021,2,"EL30",1980,"Thousands Persons",35.9
"RNUTN",2021,2,"EL41",1980,"Thousands Persons",1.5
"RNUTN",2021,2,"EL42",1980,"Thousands Persons",1.7
"RNUTN",2021,2,"EL43",1980,"Thousands Persons",3.7
"RNUTN",2021,2,"EL51",1980,"Thousands Persons",6
"RNUTN",2021,2,"EL52",1980,"Thousands Persons",16.5
"RNUTN",2021,2,"EL53",1980,"Thousands Persons",3.1
"RNUTN",2021,2,"EL54",1980,"Thousands Persons",3.4
"RNUTN",2021,2,"EL61",1980,"Thousands Persons",7.2
"RNUTN",2021,2,"EL62",1980,"Thousands Persons",1
"RNUTN",2021,2,"EL63",1980,"Thousands Persons",6.3
"RNUTN",2021,2,"EL64",1980,"Thousands Persons",6.4
"RNUTN",2021,2,"EL65",1980,"Thousands Persons",3.6
"RNUTN",2021,2,"ES11",1980,"Thousands Persons",112.6
"RNUTN",2021,2,"ES12",1980,"Thousands Persons",43.5
"RNUTN",2021,2,"ES13",1980,"Thousands Persons",19.1
"RNUTN",2021,2,"ES21",1980,"Thousands Persons",79.1
"RNUTN",2021,2,"ES22",1980,"Thousands Persons",12.3
