"VARIABLE","VERSIONS","LEVEL","NUTSCODE","YEAR","SEX","AGE","ISCED11","UNIT","VALUE"
"RPDTN",2021,2,"AT11",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",31.4
"RPDTN",2021,2,"AT12",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",23.8
"RPDTN",2021,2,"AT13",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",19.8
"RPDTN",2021,2,"AT21",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",19.8
"RPDTN",2021,2,"AT22",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",23.9
"RPDTN",2021,2,"AT31",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",27.6
"RPDTN",2021,2,"AT32",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",22
"RPDTN",2021,2,"AT33",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",24.8
"RPDTN",2021,2,"AT34",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",29.2
"RPDTN",2021,2,"BE10",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",37.5
"RPDTN",2021,2,"BE21",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",39.8
"RPDTN",2021,2,"BE22",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",44.3
"RPDTN",2021,2,"BE23",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",43.3
"RPDTN",2021,2,"BE24",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",33.2
"RPDTN",2021,2,"BE25",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",41.7
"RPDTN",2021,2,"BE31",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",29.2
"RPDTN",2021,2,"BE32",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",47.3
"RPDTN",2021,2,"BE33",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",48
"RPDTN",2021,2,"BE34",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",41.7
"RPDTN",2021,2,"BE35",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",42.2
"RPDTN",2021,2,"BG41",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",20.9
"RPDTN",2021,2,"CY00",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",38.5
"RPDTN",2021,2,"CZ01",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",6.4
"RPDTN",2021,2,"CZ02",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",18.6
"RPDTN",2021,2,"CZ03",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",12.9
"RPDTN",2021,2,"CZ04",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",19.3
"RPDTN",2021,2,"CZ05",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",13.3
"RPDTN",2021,2,"CZ06",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",12.9
"RPDTN",2021,2,"CZ07",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",15.4
"RPDTN",2021,2,"CZ08",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",14.1
"RPDTN",2021,2,"DE11",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",22.6
"RPDTN",2021,2,"DE12",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",21.8
"RPDTN",2021,2,"DE13",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",23.4
