DATAFLOW,LAST UPDATE,freq,sector,currency,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2000,1257,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2001,1307,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2002,1259,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2003,1303,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2004,1478,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2005,1430,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2006,1566,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2007,1714,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2008,1710,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2009,1624,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2010,1660,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2011,1754,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2012,2020,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2013,1940,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2014,2022,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2015,2041,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2016,2022,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2017,2327,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2018,2321,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2019,2448,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2020,2501,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2021,2989,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Burgenland,2022,3140,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2000,8462,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2001,8334,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2002,7913,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2003,8560,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2004,8857,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2005,9111,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2006,9275,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2007,10284,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2008,11612,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2009,11229,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2010,10512,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2011,11629,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2012,11668,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2013,12640,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2014,12392,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2015,13181,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2016,13340,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2017,13829,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2018,14850,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2019,16450,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2020,15330,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2021,16521,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Niederösterreich,2022,18016,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2000,15696,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2001,15015,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2002,14741,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2003,15495,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2004,16308,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2005,16175,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2006,16564,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2007,17366,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2008,17211,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2009,16492,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2010,16669,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2011,18500,,
