DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL01:Veri,2016,848059,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL01:Veri,2017,826904,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL01:Veri,2018,819793,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL01:Veri,2019,813758,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL01:Veri,2020,804689,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL01:Veri,2021,797955,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL01:Veri,2022,783970,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL01:Veri,2023,771020,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL02:Qender,2016,1110562,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL02:Qender,2017,1146183,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL02:Qender,2018,1162544,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL02:Qender,2019,1170142,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL02:Qender,2020,1176240,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL02:Qender,2021,1178435,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL02:Qender,2022,1178623,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL02:Qender,2023,1177987,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL03:Jug,2016,927405,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL03:Jug,2017,903504,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL03:Jug,2018,887987,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL03:Jug,2019,878527,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL03:Jug,2020,865026,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL03:Jug,2021,853351,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL03:Jug,2022,830999,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL03:Jug,2023,812778,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,ALXX:Not regionalised/Unknown level 2,2018,0,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,ALXX:Not regionalised/Unknown level 2,2019,0,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,1990,270670,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,1991,271604,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,1992,274259,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,1993,275633,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,1994,276300,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,1995,277529,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,1996,277843,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,1997,277566,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,1998,277210,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,1999,276732,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,2000,276226,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,2001,275956,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,2002,276673,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,2003,276542,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,2004,276793,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,2005,278033,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,2006,279128,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,2007,280062,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,2008,280977,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,2009,282777,,
